Pros,0_Original,1_Lower_Punct,2_StopWords,3_Lemmatization,4_Tokens,5_PoS_Tags,VADER_Sentiment
"Low work pressure, great management","Low work pressure, great management",low work pressure great management,low work pressure great management,low work pressure great management,"['low', 'work', 'pressure', 'great', 'management']","[('low', 'JJ'), ('work', 'NN'), ('pressure', 'NN'), ('great', 'JJ'), ('management', 'NN')]",Positive
"Learning experience
Rotation between teams
Willing to give people a chance for work.","Learning experience
Rotation between teams
Willing to give people a chance for work.","learning experience
rotation between teams
willing to give people a chance for work",learning experience rotation teams willing give people chance work,learning experience rotation team willing give people chance work,"['learning', 'experience', 'rotation', 'team', 'willing', 'give', 'people', 'chance', 'work']","[('learning', 'VBG'), ('experience', 'NN'), ('rotation', 'NN'), ('team', 'NN'), ('willing', 'JJ'), ('give', 'JJ'), ('people', 'NNS'), ('chance', 'NN'), ('work', 'NN')]",Positive
"Full Range of Medical Benefits, Professional Working Environment, Disciplined Colleagues.","Full Range of Medical Benefits, Professional Working Environment, Disciplined Colleagues.",full range of medical benefits professional working environment disciplined colleagues,full range medical benefits professional working environment disciplined colleagues,full range medical benefit professional working environment disciplined colleague,"['full', 'range', 'medical', 'benefit', 'professional', 'working', 'environment', 'disciplined', 'colleague']","[('full', 'JJ'), ('range', 'NN'), ('medical', 'JJ'), ('benefit', 'NN'), ('professional', 'JJ'), ('working', 'NN'), ('environment', 'NN'), ('disciplined', 'VBD'), ('colleague', 'NN')]",Positive
being with good people to work with,being with good people to work with,being with good people to work with,good people work,good people work,"['good', 'people', 'work']","[('good', 'JJ'), ('people', 'NNS'), ('work', 'VBP')]",Positive
Great learning opportunities. Positive outlook.,Great learning opportunities. Positive outlook.,great learning opportunities positive outlook,great learning opportunities positive outlook,great learning opportunity positive outlook,"['great', 'learning', 'opportunity', 'positive', 'outlook']","[('great', 'JJ'), ('learning', 'VBG'), ('opportunity', 'NN'), ('positive', 'JJ'), ('outlook', 'NN')]",Positive
Learning about Islamic banking and finance,Learning about Islamic banking and finance,learning about islamic banking and finance,learning islamic banking finance,learning islamic banking finance,"['learning', 'islamic', 'banking', 'finance']","[('learning', 'VBG'), ('islamic', 'JJ'), ('banking', 'NN'), ('finance', 'NN')]",Neutral
"Work life balance, customer friendly","Work life balance, customer friendly",work life balance customer friendly,work life balance customer friendly,work life balance customer friendly,"['work', 'life', 'balance', 'customer', 'friendly']","[('work', 'NN'), ('life', 'NN'), ('balance', 'NN'), ('customer', 'NN'), ('friendly', 'RB')]",Positive
"Prestigious working place 

Good environment","Prestigious working place 

Good environment","prestigious working place 

good environment",prestigious working place good environment,prestigious working place good environment,"['prestigious', 'working', 'place', 'good', 'environment']","[('prestigious', 'JJ'), ('working', 'VBG'), ('place', 'NN'), ('good', 'JJ'), ('environment', 'NN')]",Positive
Most popular. Supportive seniors. Good training,Most popular. Supportive seniors. Good training,most popular supportive seniors good training,popular supportive seniors good training,popular supportive senior good training,"['popular', 'supportive', 'senior', 'good', 'training']","[('popular', 'JJ'), ('supportive', 'JJ'), ('senior', 'JJ'), ('good', 'JJ'), ('training', 'NN')]",Positive
"Salary  is good, some teams are amazing","Salary  is good, some teams are amazing",salary  is good some teams are amazing,salary good teams amazing,salary good team amazing,"['salary', 'good', 'team', 'amazing']","[('salary', 'JJ'), ('good', 'JJ'), ('team', 'NN'), ('amazing', 'NN')]",Positive
International market Cosmopolitan Digitization and continuous advancement,International market Cosmopolitan Digitization and continuous advancement,international market cosmopolitan digitization and continuous advancement,international market cosmopolitan digitization continuous advancement,international market cosmopolitan digitization continuous advancement,"['international', 'market', 'cosmopolitan', 'digitization', 'continuous', 'advancement']","[('international', 'JJ'), ('market', 'NN'), ('cosmopolitan', 'JJ'), ('digitization', 'NN'), ('continuous', 'JJ'), ('advancement', 'NN')]",Neutral
"Good culture 

Staff are friendly 

Work life balance","Good culture 

Staff are friendly 

Work life balance","good culture 

staff are friendly 

work life balance",good culture staff friendly work life balance,good culture staff friendly work life balance,"['good', 'culture', 'staff', 'friendly', 'work', 'life', 'balance']","[('good', 'JJ'), ('culture', 'NN'), ('staff', 'NN'), ('friendly', 'JJ'), ('work', 'NN'), ('life', 'NN'), ('balance', 'NN')]",Positive
More experience  and skills as well,More experience  and skills as well,more experience  and skills as well,experience skills well,experience skill well,"['experience', 'skill', 'well']","[('experience', 'NN'), ('skill', 'NN'), ('well', 'RB')]",Positive
#NAME?,#NAME?,name,name,name,['name'],"[('name', 'NN')]",Neutral
Pioneer Islamic Acquirer in UAE,Pioneer Islamic Acquirer in UAE,pioneer islamic acquirer in uae,pioneer islamic acquirer uae,pioneer islamic acquirer uae,"['pioneer', 'islamic', 'acquirer', 'uae']","[('pioneer', 'NN'), ('islamic', 'JJ'), ('acquirer', 'NN'), ('uae', 'NN')]",Neutral
you will learn more stuff and advanced your career,you will learn more stuff and advanced your career,you will learn more stuff and advanced your career,learn stuff advanced career,learn stuff advanced career,"['learn', 'stuff', 'advanced', 'career']","[('learn', 'NN'), ('stuff', 'NN'), ('advanced', 'VBD'), ('career', 'NN')]",Positive
"An open culture and environment for learning and development, and post performance","An open culture and environment for learning and development, and post performance",an open culture and environment for learning and development and post performance,open culture environment learning development post performance,open culture environment learning development post performance,"['open', 'culture', 'environment', 'learning', 'development', 'post', 'performance']","[('open', 'JJ'), ('culture', 'NN'), ('environment', 'NN'), ('learning', 'VBG'), ('development', 'NN'), ('post', 'NN'), ('performance', 'NN')]",Neutral
#NAME?,#NAME?,name,name,name,['name'],"[('name', 'NN')]",Neutral
get a good experience in Islamic banking field,get a good experience in Islamic banking field,get a good experience in islamic banking field,get good experience islamic banking field,get good experience islamic banking field,"['get', 'good', 'experience', 'islamic', 'banking', 'field']","[('get', 'VB'), ('good', 'JJ'), ('experience', 'NN'), ('islamic', 'JJ'), ('banking', 'NN'), ('field', 'NN')]",Positive
"Contract , salary, insurance, 2 days off","Contract , salary, insurance, 2 days off",contract  salary insurance 2 days off,contract salary insurance 2 days,contract salary insurance 2 day,"['contract', 'salary', 'insurance', '2', 'day']","[('contract', 'NN'), ('salary', 'JJ'), ('insurance', 'NN'), ('2', 'CD'), ('day', 'NN')]",Neutral
Sufficient trainings for all employees,Sufficient trainings for all employees,sufficient trainings for all employees,sufficient trainings employees,sufficient training employee,"['sufficient', 'training', 'employee']","[('sufficient', 'JJ'), ('training', 'NN'), ('employee', 'NN')]",Neutral
"Nil, Not much to elaborate","Nil, Not much to elaborate",nil not much to elaborate,nil much elaborate,nil much elaborate,"['nil', 'much', 'elaborate']","[('nil', 'RB'), ('much', 'JJ'), ('elaborate', 'NN')]",Neutral
Career growth is good and can earn lots of incentives,Career growth is good and can earn lots of incentives,career growth is good and can earn lots of incentives,career growth good earn lots incentives,career growth good earn lot incentive,"['career', 'growth', 'good', 'earn', 'lot', 'incentive']","[('career', 'NN'), ('growth', 'NN'), ('good', 'JJ'), ('earn', 'NN'), ('lot', 'NN'), ('incentive', 'NN')]",Positive
"Pretty much non existent, no stability, no morals","Pretty much non existent, no stability, no morals",pretty much non existent no stability no morals,pretty much non existent stability morals,pretty much non existent stability moral,"['pretty', 'much', 'non', 'existent', 'stability', 'moral']","[('pretty', 'RB'), ('much', 'JJ'), ('non', 'JJ'), ('existent', 'JJ'), ('stability', 'NN'), ('moral', 'JJ')]",Positive
Nothing at all I can mention,Nothing at all I can mention,nothing at all i can mention,nothing mention,nothing mention,"['nothing', 'mention']","[('nothing', 'NN'), ('mention', 'NN')]",Neutral
"Good team

Excellent direct manager

Stable

Good salary

An opportunity to learn","Good team

Excellent direct manager

Stable

Good salary

An opportunity to learn","good team

excellent direct manager

stable

good salary

an opportunity to learn",good team excellent direct manager stable good salary opportunity learn,good team excellent direct manager stable good salary opportunity learn,"['good', 'team', 'excellent', 'direct', 'manager', 'stable', 'good', 'salary', 'opportunity', 'learn']","[('good', 'JJ'), ('team', 'NN'), ('excellent', 'NN'), ('direct', 'JJ'), ('manager', 'NN'), ('stable', 'JJ'), ('good', 'JJ'), ('salary', 'JJ'), ('opportunity', 'NN'), ('learn', 'NN')]",Positive
#NAME?,#NAME?,name,name,name,['name'],"[('name', 'NN')]",Neutral
Nothing except for few nice people I met there.,Nothing except for few nice people I met there.,nothing except for few nice people i met there,nothing except nice people met,nothing except nice people met,"['nothing', 'except', 'nice', 'people', 'met']","[('nothing', 'NN'), ('except', 'IN'), ('nice', 'JJ'), ('people', 'NNS'), ('met', 'VBD')]",Positive
A great experience with an elite group of people,A great experience with an elite group of people,a great experience with an elite group of people,great experience elite group people,great experience elite group people,"['great', 'experience', 'elite', 'group', 'people']","[('great', 'JJ'), ('experience', 'NN'), ('elite', 'JJ'), ('group', 'NN'), ('people', 'NNS')]",Positive
Very strong governance and improving strategy with great growth potential,Very strong governance and improving strategy with great growth potential,very strong governance and improving strategy with great growth potential,strong governance improving strategy great growth potential,strong governance improving strategy great growth potential,"['strong', 'governance', 'improving', 'strategy', 'great', 'growth', 'potential']","[('strong', 'JJ'), ('governance', 'NN'), ('improving', 'VBG'), ('strategy', 'NN'), ('great', 'JJ'), ('growth', 'NN'), ('potential', 'NN')]",Positive
Good place to work in,Good place to work in,good place to work in,good place work,good place work,"['good', 'place', 'work']","[('good', 'JJ'), ('place', 'NN'), ('work', 'NN')]",Positive
"Stable business organization

Clear organizational structure","Stable business organization

Clear organizational structure","stable business organization

clear organizational structure",stable business organization clear organizational structure,stable business organization clear organizational structure,"['stable', 'business', 'organization', 'clear', 'organizational', 'structure']","[('stable', 'JJ'), ('business', 'NN'), ('organization', 'NN'), ('clear', 'JJ'), ('organizational', 'JJ'), ('structure', 'NN')]",Positive
"1. My manager and senior management are receptive to my suggestion and advise on improving efficiency and operational controls.

2. Management takes ownership of issues and takes proactive steps to fix it.","1. My manager and senior management are receptive to my suggestion and advise on improving efficiency and operational controls.

2. Management takes ownership of issues and takes proactive steps to fix it.","1 my manager and senior management are receptive to my suggestion and advise on improving efficiency and operational controls

2 management takes ownership of issues and takes proactive steps to fix it",1 manager senior management receptive suggestion advise improving efficiency operational controls 2 management takes ownership issues takes proactive steps fix,1 manager senior management receptive suggestion advise improving efficiency operational control 2 management take ownership issue take proactive step fix,"['1', 'manager', 'senior', 'management', 'receptive', 'suggestion', 'advise', 'improving', 'efficiency', 'operational', 'control', '2', 'management', 'take', 'ownership', 'issue', 'take', 'proactive', 'step', 'fix']","[('1', 'CD'), ('manager', 'NN'), ('senior', 'JJ'), ('management', 'NN'), ('receptive', 'JJ'), ('suggestion', 'NN'), ('advise', 'NN'), ('improving', 'VBG'), ('efficiency', 'JJ'), ('operational', 'JJ'), ('control', 'NN'), ('2', 'CD'), ('management', 'NN'), ('take', 'VB'), ('ownership', 'NN'), ('issue', 'NN'), ('take', 'VB'), ('proactive', 'JJ'), ('step', 'NN'), ('fix', 'NN')]",Positive
There are absolutely no pros in working for this bank!,There are absolutely no pros in working for this bank!,there are absolutely no pros in working for this bank,absolutely pros working bank,absolutely pro working bank,"['absolutely', 'pro', 'working', 'bank']","[('absolutely', 'RB'), ('pro', 'JJ'), ('working', 'VBG'), ('bank', 'NN')]",Negative
"Good family-based benefits, but depends on grade","Good family-based benefits, but depends on grade",good familybased benefits but depends on grade,good familybased benefits depends grade,good familybased benefit depends grade,"['good', 'familybased', 'benefit', 'depends', 'grade']","[('good', 'JJ'), ('familybased', 'VBD'), ('benefit', 'NN'), ('depends', 'NNS'), ('grade', 'VBP')]",Positive
growing bank with big vision,growing bank with big vision,growing bank with big vision,growing bank big vision,growing bank big vision,"['growing', 'bank', 'big', 'vision']","[('growing', 'VBG'), ('bank', 'NN'), ('big', 'JJ'), ('vision', 'NN')]",Positive
"Good people, solid management team, resourceful organization, plenty of opportunities to contribute","Good people, solid management team, resourceful organization, plenty of opportunities to contribute",good people solid management team resourceful organization plenty of opportunities to contribute,good people solid management team resourceful organization plenty opportunities contribute,good people solid management team resourceful organization plenty opportunity contribute,"['good', 'people', 'solid', 'management', 'team', 'resourceful', 'organization', 'plenty', 'opportunity', 'contribute']","[('good', 'JJ'), ('people', 'NNS'), ('solid', 'JJ'), ('management', 'NN'), ('team', 'NN'), ('resourceful', 'JJ'), ('organization', 'NN'), ('plenty', 'NN'), ('opportunity', 'NN'), ('contribute', 'NN')]",Positive
Really professional company and competitive salary packages.,Really professional company and competitive salary packages.,really professional company and competitive salary packages,really professional company competitive salary packages,really professional company competitive salary package,"['really', 'professional', 'company', 'competitive', 'salary', 'package']","[('really', 'RB'), ('professional', 'JJ'), ('company', 'NN'), ('competitive', 'JJ'), ('salary', 'JJ'), ('package', 'NN')]",Positive
"Innovative
Very challenging, fir IT The bank rely very much on the IT team, always there is something new to do","Innovative
Very challenging, fir IT The bank rely very much on the IT team, always there is something new to do","innovative
very challenging fir it the bank rely very much on the it team always there is something new to do",innovative challenging fir bank rely much team always something new,innovative challenging fir bank rely much team always something new,"['innovative', 'challenging', 'fir', 'bank', 'rely', 'much', 'team', 'always', 'something', 'new']","[('innovative', 'JJ'), ('challenging', 'VBG'), ('fir', 'JJ'), ('bank', 'NN'), ('rely', 'RB'), ('much', 'JJ'), ('team', 'NN'), ('always', 'RB'), ('something', 'NN'), ('new', 'JJ')]",Positive
#NAME?,#NAME?,name,name,name,['name'],"[('name', 'NN')]",Neutral
it is a very large and well reputed bank in middle east not in UAE ONLY since i had wit for more than 13 years in different departments and i was from founders,it is a very large and well reputed bank in middle east not in UAE ONLY since i had wit for more than 13 years in different departments and i was from founders,it is a very large and well reputed bank in middle east not in uae only since i had wit for more than 13 years in different departments and i was from founders,large well reputed bank middle east uae since wit 13 years different departments founders,large well reputed bank middle east uae since wit 13 year different department founder,"['large', 'well', 'reputed', 'bank', 'middle', 'east', 'uae', 'since', 'wit', '13', 'year', 'different', 'department', 'founder']","[('large', 'JJ'), ('well', 'RB'), ('reputed', 'JJ'), ('bank', 'NN'), ('middle', 'JJ'), ('east', 'JJ'), ('uae', 'JJ'), ('since', 'IN'), ('wit', 'NN'), ('13', 'CD'), ('year', 'NN'), ('different', 'JJ'), ('department', 'NN'), ('founder', 'NN')]",Positive
Best working environment/ supporting management/,Best working environment/ supporting management/,best working environment supporting management,best working environment supporting management,best working environment supporting management,"['best', 'working', 'environment', 'supporting', 'management']","[('best', 'JJS'), ('working', 'VBG'), ('environment', 'NN'), ('supporting', 'VBG'), ('management', 'NN')]",Positive
Friendly colleagues and the location of their branch is perfect.,Friendly colleagues and the location of their branch is perfect.,friendly colleagues and the location of their branch is perfect,friendly colleagues location branch perfect,friendly colleague location branch perfect,"['friendly', 'colleague', 'location', 'branch', 'perfect']","[('friendly', 'RB'), ('colleague', 'JJ'), ('location', 'NN'), ('branch', 'NN'), ('perfect', 'NN')]",Positive
"Very supportive Management Team, awesome IT team members.","Very supportive Management Team, awesome IT team members.",very supportive management team awesome it team members,supportive management team awesome team members,supportive management team awesome team member,"['supportive', 'management', 'team', 'awesome', 'team', 'member']","[('supportive', 'JJ'), ('management', 'NN'), ('team', 'NN'), ('awesome', 'JJ'), ('team', 'NN'), ('member', 'NN')]",Positive
"Freedom at work, work life balance,","Freedom at work, work life balance,",freedom at work work life balance,freedom work work life balance,freedom work work life balance,"['freedom', 'work', 'work', 'life', 'balance']","[('freedom', 'NN'), ('work', 'NN'), ('work', 'NN'), ('life', 'NN'), ('balance', 'NN')]",Positive
"Friendly staff, makes u feel as a family member","Friendly staff, makes u feel as a family member",friendly staff makes u feel as a family member,friendly staff makes u feel family member,friendly staff make u feel family member,"['friendly', 'staff', 'make', 'u', 'feel', 'family', 'member']","[('friendly', 'JJ'), ('staff', 'NN'), ('make', 'VBP'), ('u', 'JJ'), ('feel', 'VB'), ('family', 'NN'), ('member', 'NN')]",Positive
"You will get Experience

Team Friendly","You will get Experience

Team Friendly","you will get experience

team friendly",get experience team friendly,get experience team friendly,"['get', 'experience', 'team', 'friendly']","[('get', 'VB'), ('experience', 'NN'), ('team', 'NN'), ('friendly', 'RB')]",Positive
"Very co-operative staff

A good place to get focused and be the part of great company.

supportive and friendly staff, always encourages you to go beyond the goals.

A very good place to buildup your confidence in every life cycle.","Very co-operative staff

A good place to get focused and be the part of great company.

supportive and friendly staff, always encourages you to go beyond the goals.

A very good place to buildup your confidence in every life cycle.","very cooperative staff

a good place to get focused and be the part of great company

supportive and friendly staff always encourages you to go beyond the goals

a very good place to buildup your confidence in every life cycle",cooperative staff good place get focused part great company supportive friendly staff always encourages go beyond goals good place buildup confidence every life cycle,cooperative staff good place get focused part great company supportive friendly staff always encourages go beyond goal good place buildup confidence every life cycle,"['cooperative', 'staff', 'good', 'place', 'get', 'focused', 'part', 'great', 'company', 'supportive', 'friendly', 'staff', 'always', 'encourages', 'go', 'beyond', 'goal', 'good', 'place', 'buildup', 'confidence', 'every', 'life', 'cycle']","[('cooperative', 'JJ'), ('staff', 'NN'), ('good', 'JJ'), ('place', 'NN'), ('get', 'VBP'), ('focused', 'VBN'), ('part', 'NN'), ('great', 'JJ'), ('company', 'NN'), ('supportive', 'JJ'), ('friendly', 'JJ'), ('staff', 'NN'), ('always', 'RB'), ('encourages', 'VBZ'), ('go', 'VBP'), ('beyond', 'IN'), ('goal', 'NN'), ('good', 'JJ'), ('place', 'NN'), ('buildup', 'NN'), ('confidence', 'NN'), ('every', 'DT'), ('life', 'NN'), ('cycle', 'NN')]",Positive
"Great company, friendly staff. Great facilities and great location in AD","Great company, friendly staff. Great facilities and great location in AD",great company friendly staff great facilities and great location in ad,great company friendly staff great facilities great location ad,great company friendly staff great facility great location ad,"['great', 'company', 'friendly', 'staff', 'great', 'facility', 'great', 'location', 'ad']","[('great', 'JJ'), ('company', 'NN'), ('friendly', 'JJ'), ('staff', 'NN'), ('great', 'JJ'), ('facility', 'NN'), ('great', 'JJ'), ('location', 'NN'), ('ad', 'NN')]",Positive
One of the most powerful organization transformation in the Banking field.,One of the most powerful organization transformation in the Banking field.,one of the most powerful organization transformation in the banking field,one powerful organization transformation banking field,one powerful organization transformation banking field,"['one', 'powerful', 'organization', 'transformation', 'banking', 'field']","[('one', 'CD'), ('powerful', 'JJ'), ('organization', 'NN'), ('transformation', 'NN'), ('banking', 'NN'), ('field', 'NN')]",Positive
young bank with lots of career growth opportunities. The Bank is growing and encourages personal development and contribution to  its development...,young bank with lots of career growth opportunities. The Bank is growing and encourages personal development and contribution to  its development...,young bank with lots of career growth opportunities the bank is growing and encourages personal development and contribution to  its development,young bank lots career growth opportunities bank growing encourages personal development contribution development,young bank lot career growth opportunity bank growing encourages personal development contribution development,"['young', 'bank', 'lot', 'career', 'growth', 'opportunity', 'bank', 'growing', 'encourages', 'personal', 'development', 'contribution', 'development']","[('young', 'JJ'), ('bank', 'NN'), ('lot', 'NN'), ('career', 'NN'), ('growth', 'NN'), ('opportunity', 'NN'), ('bank', 'NN'), ('growing', 'VBG'), ('encourages', 'NNS'), ('personal', 'JJ'), ('development', 'NN'), ('contribution', 'NN'), ('development', 'NN')]",Positive
#NAME?,#NAME?,name,name,name,['name'],"[('name', 'NN')]",Neutral
"the company is known to provide both internal and external training to the employees, which will help in learning more about the aspects of the business.","the company is known to provide both internal and external training to the employees, which will help in learning more about the aspects of the business.",the company is known to provide both internal and external training to the employees which will help in learning more about the aspects of the business,company known provide internal external training employees help learning aspects business,company known provide internal external training employee help learning aspect business,"['company', 'known', 'provide', 'internal', 'external', 'training', 'employee', 'help', 'learning', 'aspect', 'business']","[('company', 'NN'), ('known', 'VBN'), ('provide', 'VBP'), ('internal', 'JJ'), ('external', 'JJ'), ('training', 'NN'), ('employee', 'NN'), ('help', 'NN'), ('learning', 'VBG'), ('aspect', 'JJ'), ('business', 'NN')]",Positive
it is very good to work in ADIB,it is very good to work in ADIB,it is very good to work in adib,good work adib,good work adib,"['good', 'work', 'adib']","[('good', 'JJ'), ('work', 'NN'), ('adib', 'NN')]",Positive
Good salaries (but only for a select few),Good salaries (but only for a select few),good salaries but only for a select few,good salaries select,good salary select,"['good', 'salary', 'select']","[('good', 'JJ'), ('salary', 'NN'), ('select', 'NN')]",Positive
such a satisfying and friendly environment.,such a satisfying and friendly environment.,such a satisfying and friendly environment,satisfying friendly environment,satisfying friendly environment,"['satisfying', 'friendly', 'environment']","[('satisfying', 'VBG'), ('friendly', 'JJ'), ('environment', 'NN')]",Positive
This company always take care of their employees.,This company always take care of their employees.,this company always take care of their employees,company always take care employees,company always take care employee,"['company', 'always', 'take', 'care', 'employee']","[('company', 'NN'), ('always', 'RB'), ('take', 'VBP'), ('care', 'NN'), ('employee', 'NN')]",Positive
"The pay, the commission","The pay, the commission",the pay the commission,pay commission,pay commission,"['pay', 'commission']","[('pay', 'NN'), ('commission', 'NN')]",Negative
"Good pay, a nice work atmosphere","Good pay, a nice work atmosphere",good pay a nice work atmosphere,good pay nice work atmosphere,good pay nice work atmosphere,"['good', 'pay', 'nice', 'work', 'atmosphere']","[('good', 'JJ'), ('pay', 'NN'), ('nice', 'JJ'), ('work', 'NN'), ('atmosphere', 'RB')]",Positive
Islamic Bank and a good opportunity to work in Islamic Banking. One of the fastest growing Banks in UAE,Islamic Bank and a good opportunity to work in Islamic Banking. One of the fastest growing Banks in UAE,islamic bank and a good opportunity to work in islamic banking one of the fastest growing banks in uae,islamic bank good opportunity work islamic banking one fastest growing banks uae,islamic bank good opportunity work islamic banking one fastest growing bank uae,"['islamic', 'bank', 'good', 'opportunity', 'work', 'islamic', 'banking', 'one', 'fastest', 'growing', 'bank', 'uae']","[('islamic', 'JJ'), ('bank', 'NN'), ('good', 'JJ'), ('opportunity', 'NN'), ('work', 'NN'), ('islamic', 'JJ'), ('banking', 'NN'), ('one', 'CD'), ('fastest', 'JJS'), ('growing', 'VBG'), ('bank', 'NN'), ('uae', 'NN')]",Positive
"good salary, good customer service","good salary, good customer service",good salary good customer service,good salary good customer service,good salary good customer service,"['good', 'salary', 'good', 'customer', 'service']","[('good', 'JJ'), ('salary', 'NN'), ('good', 'JJ'), ('customer', 'NN'), ('service', 'NN')]",Positive
"Learning is good, more over much diversified product offering in Islamic Finance.","Learning is good, more over much diversified product offering in Islamic Finance.",learning is good more over much diversified product offering in islamic finance,learning good much diversified product offering islamic finance,learning good much diversified product offering islamic finance,"['learning', 'good', 'much', 'diversified', 'product', 'offering', 'islamic', 'finance']","[('learning', 'VBG'), ('good', 'JJ'), ('much', 'RB'), ('diversified', 'JJ'), ('product', 'NN'), ('offering', 'NN'), ('islamic', 'JJ'), ('finance', 'NN')]",Positive
Great experience for building a career,Great experience for building a career,great experience for building a career,great experience building career,great experience building career,"['great', 'experience', 'building', 'career']","[('great', 'JJ'), ('experience', 'NN'), ('building', 'NN'), ('career', 'NN')]",Positive
"is a good look on your cv,especially for fresh grads.","is a good look on your cv,especially for fresh grads.",is a good look on your cvespecially for fresh grads,good look cvespecially fresh grads,good look cvespecially fresh grad,"['good', 'look', 'cvespecially', 'fresh', 'grad']","[('good', 'JJ'), ('look', 'NN'), ('cvespecially', 'RB'), ('fresh', 'JJ'), ('grad', 'NN')]",Positive
Good friends there and good money ADIB staff,Good friends there and good money ADIB staff,good friends there and good money adib staff,good friends good money adib staff,good friend good money adib staff,"['good', 'friend', 'good', 'money', 'adib', 'staff']","[('good', 'JJ'), ('friend', 'NN'), ('good', 'JJ'), ('money', 'NN'), ('adib', 'NN'), ('staff', 'NN')]",Positive
"?	Software Development using .NET Framework.

?	Part of the Application Deployment/Troubleshooting Team.

?	Member of the Requirements Collection /Analysis Team.

?	Problem Resolution by Understanding of key business processes and IT support processes.","?	Software Development using .NET Framework.

?	Part of the Application Deployment/Troubleshooting Team.

?	Member of the Requirements Collection /Analysis Team.

?	Problem Resolution by Understanding of key business processes and IT support processes.","	software development using net framework

	part of the application deploymenttroubleshooting team

	member of the requirements collection analysis team

	problem resolution by understanding of key business processes and it support processes",software development using net framework part application deploymenttroubleshooting team member requirements collection analysis team problem resolution understanding key business processes support processes,software development using net framework part application deploymenttroubleshooting team member requirement collection analysis team problem resolution understanding key business process support process,"['software', 'development', 'using', 'net', 'framework', 'part', 'application', 'deploymenttroubleshooting', 'team', 'member', 'requirement', 'collection', 'analysis', 'team', 'problem', 'resolution', 'understanding', 'key', 'business', 'process', 'support', 'process']","[('software', 'NN'), ('development', 'NN'), ('using', 'VBG'), ('net', 'JJ'), ('framework', 'NN'), ('part', 'NN'), ('application', 'NN'), ('deploymenttroubleshooting', 'VBG'), ('team', 'NN'), ('member', 'NN'), ('requirement', 'NN'), ('collection', 'NN'), ('analysis', 'NN'), ('team', 'NN'), ('problem', 'NN'), ('resolution', 'NN'), ('understanding', 'VBG'), ('key', 'JJ'), ('business', 'NN'), ('process', 'NN'), ('support', 'NN'), ('process', 'NN')]",Neutral
"Great environment
Always guiding me as an intern","Great environment
Always guiding me as an intern","great environment
always guiding me as an intern",great environment always guiding intern,great environment always guiding intern,"['great', 'environment', 'always', 'guiding', 'intern']","[('great', 'JJ'), ('environment', 'NN'), ('always', 'RB'), ('guiding', 'VBG'), ('intern', 'JJ')]",Positive
Learnt alot abou banking sector,Learnt alot abou banking sector,learnt alot abou banking sector,learnt alot abou banking sector,learnt alot abou banking sector,"['learnt', 'alot', 'abou', 'banking', 'sector']","[('learnt', 'NN'), ('alot', 'NN'), ('abou', 'IN'), ('banking', 'NN'), ('sector', 'NN')]",Neutral
"competitive benefits such as salary, medical etc","competitive benefits such as salary, medical etc",competitive benefits such as salary medical etc,competitive benefits salary medical etc,competitive benefit salary medical etc,"['competitive', 'benefit', 'salary', 'medical', 'etc']","[('competitive', 'JJ'), ('benefit', 'NN'), ('salary', 'JJ'), ('medical', 'JJ'), ('etc', 'NN')]",Positive
"Corporative work environment 
Friendly environment","Corporative work environment 
Friendly environment","corporative work environment 
friendly environment",corporative work environment friendly environment,corporative work environment friendly environment,"['corporative', 'work', 'environment', 'friendly', 'environment']","[('corporative', 'JJ'), ('work', 'NN'), ('environment', 'NN'), ('friendly', 'JJ'), ('environment', 'NN')]",Positive
Good place for internships overall,Good place for internships overall,good place for internships overall,good place internships overall,good place internship overall,"['good', 'place', 'internship', 'overall']","[('good', 'JJ'), ('place', 'NN'), ('internship', 'NN'), ('overall', 'JJ')]",Positive
Positive work culture and very modern office,Positive work culture and very modern office,positive work culture and very modern office,positive work culture modern office,positive work culture modern office,"['positive', 'work', 'culture', 'modern', 'office']","[('positive', 'JJ'), ('work', 'NN'), ('culture', 'NN'), ('modern', 'JJ'), ('office', 'NN')]",Positive
"People were very nice and welcoming.

Rotations allowed me to get a better understanding of the different roles in the Finance Department.","People were very nice and welcoming.

Rotations allowed me to get a better understanding of the different roles in the Finance Department.","people were very nice and welcoming

rotations allowed me to get a better understanding of the different roles in the finance department",people nice welcoming rotations allowed get better understanding different roles finance department,people nice welcoming rotation allowed get better understanding different role finance department,"['people', 'nice', 'welcoming', 'rotation', 'allowed', 'get', 'better', 'understanding', 'different', 'role', 'finance', 'department']","[('people', 'NNS'), ('nice', 'JJ'), ('welcoming', 'VBG'), ('rotation', 'NN'), ('allowed', 'VBD'), ('get', 'VB'), ('better', 'RBR'), ('understanding', 'JJ'), ('different', 'JJ'), ('role', 'NN'), ('finance', 'NN'), ('department', 'NN')]",Positive
"good job, central location and good exposure","good job, central location and good exposure",good job central location and good exposure,good job central location good exposure,good job central location good exposure,"['good', 'job', 'central', 'location', 'good', 'exposure']","[('good', 'JJ'), ('job', 'NN'), ('central', 'JJ'), ('location', 'NN'), ('good', 'JJ'), ('exposure', 'NN')]",Positive
Hands on experience that was very helpful,Hands on experience that was very helpful,hands on experience that was very helpful,hands experience helpful,hand experience helpful,"['hand', 'experience', 'helpful']","[('hand', 'NN'), ('experience', 'NN'), ('helpful', 'NN')]",Positive
